arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
piccolo/apps/schema/commands/generate.py,funcao,get_foreign_key_reference,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/schema/commands/generate.py,funcao,_get_column_type,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/schema/commands/generate.py,funcao,_apply_primary_key_override,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
piccolo/apps/schema/commands/generate.py,funcao,_apply_index_params,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/schema/commands/generate.py,funcao,_apply_type_specific_params,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/schema/commands/generate.py,funcao,_resolve_foreign_key,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/schema/commands/generate.py,funcao,create_table_class_from_db,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
piccolo/apps/schema/commands/generate.py,funcao,_process_foreign_key_column,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/schema/commands/generate.py,funcao,_process_column_type_kwargs,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/schema/commands/generate.py,funcao,get_output_schema,3,6,6,10,9,16,20.2647,50.7188,2.5,126.797,7.0443,0.0169
piccolo/apps/schema/commands/generate.py,funcao,generate,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/tables.py,funcao,get_migrations_which_ran,2,2,2,4,4,6,4.0,12.0,2.0,24.0,1.3333,0.004
piccolo/apps/migrations/commands/new.py,funcao,render_template,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/new.py,funcao,_create_migrations_folder,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/new.py,funcao,now,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/new.py,funcao,_generate_migration_meta,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
