arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
piccolo/columns/defaults/uuid.py,93,37,48,1,22,23,0
piccolo/query/operators/json.py,111,37,50,4,32,27,2
piccolo/query/methods/delete.py,78,40,55,1,4,19,0
piccolo/apps/migrations/commands/clean.py,87,37,55,2,12,18,2
piccolo/apps/migrations/auto/operations.py,75,97,58,0,0,17,0
piccolo/engine/cockroach.py,97,28,59,0,19,19,0
piccolo/query/methods/create.py,91,38,60,1,15,16,0
piccolo/query/methods/create_index.py,76,44,64,1,0,12,0
piccolo/apps/user/commands/create.py,92,52,65,0,3,24,0
piccolo/query/functions/__init__.py,68,8,67,0,0,1,0
piccolo/query/constraints.py,96,30,69,5,6,16,5
piccolo/apps/app/commands/new.py,122,60,71,0,19,32,0
piccolo/apps/fixtures/commands/dump.py,130,54,71,1,32,26,1
piccolo/query/functions/string.py,163,48,72,2,43,46,2
piccolo/columns/defaults/timestamptz.py,92,34,72,1,3,17,0
piccolo/columns/reference.py,114,55,73,1,18,23,0
piccolo/columns/defaults/date.py,117,58,73,1,14,29,1
piccolo/columns/__init__.py,75,6,74,0,0,1,0
piccolo/apps/schema/commands/graph.py,113,59,74,0,17,22,0
piccolo/apps/user/piccolo_migrations/2019-11-14T21-52-21.py,78,16,74,0,0,4,0
piccolo/columns/defaults/interval.py,91,35,75,1,0,15,1
piccolo/query/functions/array.py,151,56,76,0,42,33,0
piccolo/testing/random_builder.py,95,52,78,3,0,14,3
piccolo/columns/defaults/time.py,104,59,80,0,0,24,0
piccolo/apps/migrations/commands/check.py,123,59,83,1,17,22,1
piccolo/query/methods/update.py,118,51,84,8,4,24,6
piccolo/apps/fixtures/commands/load.py,136,50,88,7,16,25,7
piccolo/apps/migrations/commands/base.py,138,69,93,0,23,22,0
piccolo/apps/asgi/commands/new.py,140,72,104,1,9,27,0
piccolo/main.py,150,62,108,15,3,25,14
piccolo/apps/migrations/auto/schema_snapshot.py,143,78,113,4,4,22,4
piccolo/table_reflection.py,239,108,120,3,71,47,1
piccolo/query/methods/refresh.py,212,69,122,16,44,42,4
piccolo/columns/defaults/timestamp.py,160,69,122,4,4,31,3
piccolo/query/methods/insert.py,152,55,125,4,3,21,3
piccolo/testing/model_builder.py,199,82,130,5,36,29,4
piccolo/apps/migrations/commands/forwards.py,182,88,134,0,19,29,0
piccolo/columns/combination.py,256,109,136,4,45,74,1
piccolo/apps/migrations/commands/backwards.py,198,85,147,6,17,29,5
piccolo/engine/base.py,236,136,153,6,21,56,6
piccolo/apps/migrations/auto/diffable_table.py,240,88,160,13,34,40,6
piccolo/apps/user/tables.py,286,135,167,14,54,51,14
piccolo/apps/migrations/commands/new.py,272,102,172,15,30,55,15
piccolo/schema.py,316,119,190,0,61,65,0
piccolo/querystring.py,331,174,213,9,46,66,6
piccolo/query/functions/datetime.py,340,65,222,11,50,58,10
piccolo/columns/m2m.py,439,202,303,8,59,73,4
piccolo/query/base.py,472,255,308,13,66,90,8
piccolo/utils/pydantic.py,449,144,362,10,14,68,5
